k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,23,gOMP,optimized,0.0001672919897828251,1.1217998689971864e-05,4.2356987250968814e-05,6.0435006162151694e-05,1.4594988897442818e-05,0.0
4,24,gOMP,baseline,0.00012100901221856475,8.163988240994513e-06,2.606000634841621e-05,3.7389996577985585e-05,1.1694995919242501e-05,0.0
4,24,gOMP,optimized,0.0003017919952981174,1.7484009731560946e-05,4.0306986193172634e-05,9.610300185158849e-05,9.627200779505074e-05,0.0
4,25,gOMP,baseline,0.00012886100739706308,1.3056996976956725e-05,2.5569999706931412e-05,3.949401434510946e-05,1.2746997526846826e-05,0.0
4,25,gOMP,optimized,8.277800225187093e-05,7.075010216794908e-06,1.8377992091700435e-05,2.6078996597789228e-05,7.922004442662e-06,0.0
4,26,gOMP,baseline,0.00013902300270274282,1.0310002835467458e-05,2.8241993277333677e-05,4.377099685370922e-05,1.427099050488323e-05,0.0
4,26,gOMP,optimized,0.00010102300439029932,1.632100611459464e-05,2.028601011261344e-05,2.9158996767364442e-05,9.194016456604004e-06,0.0
4,27,gOMP,baseline,0.00011924900172743946,8.472998160868883e-06,2.346698602195829e-05,3.693999315146357e-05,1.155698555521667e-05,0.0
4,27,gOMP,optimized,8.317299943882972e-05,8.194998372346163e-06,1.8216000171378255e-05,2.5618006475269794e-05,7.990995072759688e-06,0.0
4,28,gOMP,baseline,0.00011317600728943944,7.763010216876864e-06,2.1031999494880438e-05,3.7833990063518286e-05,1.09370012069121e-05,0.0
4,28,gOMP,optimized,8.591699588578194e-05,7.297989213839173e-06,1.8488994101062417e-05,2.6671012165024877e-05,9.769006283022463e-06,0.0
4,29,gOMP,baseline,0.00010910400305874646,8.483999408781528e-06,2.139098069164902e-05,3.3280986826866865e-05,1.0877003660425544e-05,0.0
4,29,gOMP,optimized,8.743900980334729e-05,8.127011824399233e-06,1.7878002836368978e-05,2.4652996216900647e-05,8.158996934071183e-06,0.0
4,30,gOMP,baseline,0.0001612899941392243,9.373994544148445e-06,3.7806006730534136e-05,5.1713010179810226e-05,1.3466997188515961e-05,0.0
4,30,gOMP,optimized,9.962900367099792e-05,8.489005267620087e-06,2.2200998500920832e-05,3.1531002605333924e-05,9.481998858973384e-06,0.0
4,31,gOMP,baseline,0.00035498700162861496,8.951014024205506e-06,8.916198567021638e-05,0.00017063799896277487,2.4470995413139462e-05,0.0
4,31,gOMP,optimized,0.00012229899584781379,1.2137999874539673e-05,2.7588001103140414e-05,3.927799116354436e-05,1.0693998774513602e-05,0.0
4,32,gOMP,baseline,0.0001353639963781461,8.461007382720709e-06,2.6426001568324864e-05,4.323299799580127e-05,1.1435011401772499e-05,0.0
4,32,gOMP,optimized,9.049799700733274e-05,7.4789859354496e-06,1.933099702000618e-05,2.9892005841247737e-05,8.625996997579932e-06,0.0
4,33,gOMP,baseline,0.0001227309985551983,8.805000106804073e-06,2.7431990019977093e-05,3.740200190804899e-05,1.1672003893181682e-05,0.0
4,33,gOMP,optimized,8.706298831384629e-05,7.86499003879726e-06,1.8815015209838748e-05,2.5424989871680737e-05,1.126498682424426e-05,0.0
4,34,gOMP,baseline,0.00012587200035341084,7.703012670390308e-06,2.8527996619232e-05,4.1207997128367424e-05,1.0849995305761695e-05,0.0
4,34,gOMP,optimized,7.843699131626636e-05,6.794012733735144e-06,1.7815007595345378e-05,2.3855012841522694e-05,7.658018148504198e-06,0.0
4,35,gOMP,baseline,0.00010612099140416831,8.230999810621142e-06,2.0715990103781223e-05,3.243501123506576e-05,1.078000059351325e-05,0.0
4,35,gOMP,optimized,8.433600305579603e-05,8.282993803732097e-06,1.7797996406443417e-05,2.5426983484067023e-05,8.13799852039665e-06,0.0
4,36,gOMP,baseline,0.00011916999937966466,6.943999323993921e-06,2.6996989618055522e-05,3.423799353186041e-05,1.3613011105917394e-05,0.0
4,36,gOMP,optimized,9.090399544220418e-05,8.942995918914676e-06,1.921401417348534e-05,2.971199864987284e-05,9.310009772889316e-06,0.0
4,37,gOMP,baseline,0.0003737130027730018,1.5738012734800577e-05,0.00010305701289325953,8.500898547936231e-05,3.0333001632243395e-05,0.0
4,37,gOMP,optimized,0.00010769000800792128,1.138501102104783e-05,2.2571999579668045e-05,3.568599640857428e-05,9.242983651347458e-06,0.0
4,38,gOMP,baseline,0.00012231299479026347,7.419992471113801e-06,2.4620996555313468e-05,4.198000533506274e-05,1.1010997695848346e-05,0.0
4,38,gOMP,optimized,7.866599480621517e-05,6.9229863584041595e-06,1.738900027703494e-05,2.4618988391011953e-05,7.6669966802001e-06,0.0
4,39,gOMP,baseline,0.00010979700891766697,8.304006769321859e-06,2.2042993805371225e-05,3.320298856124282e-05,1.1058014933951199e-05,0.0
4,39,gOMP,optimized,8.666500798426569e-05,8.350994903594255e-06,1.934899773914367e-05,2.6806010282598436e-05,8.144997991621494e-06,0.0
4,40,gOMP,baseline,0.000380156998289749,3.612601722124964e-05,5.7756988098844886e-05,7.002899656072259e-05,2.5098997866734862e-05,0.0
4,40,gOMP,optimized,0.00012645599781535566,1.0036004823632538e-05,2.8050999389961362e-05,4.473200533539057e-05,1.0324001777917147e-05,0.0
4,41,gOMP,baseline,0.0001330780069110915,9.262003004550934e-06,2.784199023153633e-05,4.274000821169466e-05,1.2771008186973631e-05,0.0
4,41,gOMP,optimized,8.51680088089779e-05,8.049988537095487e-06,1.8591017578728497e-05,2.6807989343069494e-05,8.247021469287574e-06,0.0
4,42,gOMP,baseline,0.00011350000568199903,6.853995728306472e-06,2.4219014449045062e-05,3.621798532549292e-05,1.0142000974155962e-05,0.0
4,42,gOMP,optimized,0.000113420988782309,2.7492002118378878e-05,2.1186002413742244e-05,2.79039959423244e-05,9.89199907053262e-06,0.0
4,43,gOMP,baseline,0.00012079400767106563,9.190000128000975e-06,2.5296991225332022e-05,3.697401552926749e-05,1.2160991900600493e-05,0.0
4,43,gOMP,optimized,8.586200419813395e-05,8.897011866793036e-06,1.904899545479566e-05,2.676800068002194e-05,7.84199801273644e-06,0.0
4,44,gOMP,baseline,0.00014313499559648335,2.0508989109657705e-05,2.6213005185127258e-05,4.113400063943118e-05,1.4605000615119934e-05,0.0
4,44,gOMP,optimized,8.804300159681588e-05,8.080009138211608e-06,2.1069005015306175e-05,2.67180148512125e-05,8.56800761539489e-06,0.0
4,45,gOMP,baseline,0.0001792859984561801,9.406998287886381e-06,5.592299567069858e-05,4.602200351655483e-05,1.595700450707227e-05,0.0
4,45,gOMP,optimized,9.679999493528157e-05,9.274997864849865e-06,2.1290004951879382e-05,3.0351991881616414e-05,8.99900624062866e-06,0.0
4,46,gOMP,baseline,0.00015194898878689855,9.674011380411685e-06,4.146101127844304e-05,4.629399336408824e-05,1.2496995623223484e-05,0.0
4,46,gOMP,optimized,0.00014945399016141891,1.1016003554686904e-05,2.9185001039877534e-05,5.575000250246376e-05,1.7120008124038577e-05,0.0
4,47,gOMP,baseline,0.00011849899601656944,8.390983566641808e-06,2.5249988539144397e-05,3.66260064765811e-05,1.2268006685189903e-05,0.0
4,47,gOMP,optimized,8.405999687965959e-05,8.431990863755345e-06,1.8026999896392226e-05,2.6911002350971103e-05,7.887996616773307e-06,0.0
4,48,gOMP,baseline,0.0001366869983030483,1.06819934444502e-05,2.8633003239519894e-05,4.220199480187148e-05,1.338199945166707e-05,0.0
4,48,gOMP,optimized,8.391001028940082e-05,7.668990292586386e-06,1.7395999748259783e-05,2.7811009204015136e-05,7.94000516179949e-06,0.0
4,49,gOMP,baseline,0.00012153299758210778,8.769988198764622e-06,2.4674998712725937e-05,3.7878999137319624e-05,1.1885000276379287e-05,0.0
4,49,gOMP,optimized,8.555399836041033e-05,8.705013897269964e-06,1.8834994989447296e-05,2.5897010345943272e-05,7.957001798786223e-06,0.0
4,50,gOMP,baseline,0.00011945300502702594,9.244991815648973e-06,2.3615997633896768e-05,3.775001096073538e-05,1.1260999599471688e-05,0.0
4,50,gOMP,optimized,8.341298962477595e-05,8.215007255785167e-06,1.8332997569814324e-05,2.5879984605126083e-05,7.975002517923713e-06,0.0
4,51,gOMP,baseline,0.00012616600724868476,8.705988875590265e-06,2.2612002794630826e-05,3.3459989936091006e-05,1.1194002581760287e-05,0.0
4,51,gOMP,optimized,9.920999582391232e-05,9.308001608587801e-06,2.1061990992166102e-05,3.0413997592404485e-05,8.90500086825341e-06,0.0
