trial,k,algorithm,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
19,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.01293322309141415,0.0006523114339233421,0.02554038828842158,1.0,1.0,1,0.000430600019171834,2,4.0,0.11971342006202333,target_sparsity_reached,0,0,3.530000685714185e-05,15.0,True,,0,0,1.2033206713558666,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.012332884652292765,0.002310731595840105,0.04807006964671578,0.75,0.75,0,0.00017899999511428177,4,4.0,0.12141954955502783,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,1.2837058296751795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.012332884652292765,0.002310731595840105,0.04807006964671578,0.75,0.75,0,8.749999688006938e-05,2,4.0,0.12141954955502783,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.2837058296751795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.012332884652292765,0.0006544322479258656,0.02558187342486601,0.75,1.0,0,0.000135900016175583,1,3.0,0.12895496996816508,noise_floor,0,1,1.9800005247816443e-05,22.0,True,,0,0,1.2307955639279566,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.02654171446178719,0.0010849632450685173,0.03293878026078861,0.75,0.75,0,0.00017649997607804835,4,4.0,0.22541018480498842,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,1.0662798083021003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02654171446178719,0.0003232784110032024,0.017979944688546804,0.75,0.75,0,8.629998774267733e-05,2,4.0,0.23662496244787223,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.426867603068659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02654171446178719,0.0007397412084572267,0.027198183918365332,0.75,0.75,0,0.0005003999976906925,2,4.0,0.22900768447026432,target_sparsity_reached,1,1,3.670001751743257e-05,16.5,True,,0,0,1.3912488380721595,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.015195068773122438,0.001493893937895166,0.03865092415318379,0.75,0.75,0,0.00016900000628083944,4,4.0,0.14619242935730742,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,1.2148746142940006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.015195068773122438,0.0006283469344763923,0.025066849312915102,0.75,0.75,0,8.440000237897038e-05,2,4.0,0.1516045107007213,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.4884720134724188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.015195068773122438,0.0012449740736718677,0.03528419013767877,0.75,0.75,0,0.0004846000229008496,2,4.0,0.14733551482421284,target_sparsity_reached,1,1,3.6999990697950125e-05,16.5,True,,0,0,1.3531121129732302,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.017205323038181817,0.0012811733264847408,0.035793481620048376,0.75,0.75,0,0.00018879998242482543,4,4.0,0.14484658824298327,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,1.1866798213685663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.017205323038181817,0.0012811733264847408,0.035793481620048376,0.75,0.75,0,9.970000246539712e-05,2,4.0,0.14484658824298327,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.1866798213685663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.017205323038181817,0.00046419989491085375,0.02154529867304823,0.75,1.0,0,0.00015050001093186438,1,3.0,0.15217989183115024,noise_floor,0,1,2.2099993657320738e-05,22.0,True,,0,0,1.0837512954199144,0.0,0.0,0.0,0.0,1.0,0.0,1.0
24,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.015112432097774492,0.0003317318121041024,0.01821350630999156,1.0,1.0,1,0.00018159998580813408,4,4.0,0.14457220191152195,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.28411437641483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.015112432097774492,0.0003317318121041123,0.01821350630999183,1.0,1.0,1,9.250000584870577e-05,2,4.0,0.14457220191152195,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.2841143764148293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.015112432097774492,0.0003317318130644582,0.018213506336355396,1.0,1.0,1,0.0005076999950688332,2,4.0,0.14457220191152198,target_sparsity_reached,0,0,4.2499974370002747e-05,16.5,True,,0,0,1.2841143764148293,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.027081894309837116,0.0009637405968013617,0.031044171704224317,1.0,1.0,1,0.00016850000247359276,4,4.0,0.269172413236429,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.3391304317474573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
